City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,Ancud,75,CL,broken clouds,87,-41.87,-73.82,55.99,0.0,0,11.41
1,Coihaique,40,CL,scattered clouds,66,-45.58,-72.07,50.0,0.0,0,4.7
2,Vaini,20,TO,few clouds,83,-21.2,-175.2,69.8,0.0,0,8.05
3,Kirovo-Chepetsk,0,RU,clear sky,68,58.55,50.04,51.71,0.0,0,1.99
4,Lebu,100,CL,moderate rain,94,-37.62,-73.65,52.27,3.23,0,14.47
5,Albany,4,US,clear sky,52,42.6,-73.97,84.99,0.0,0,5.93
6,Geraldton,10,AU,clear sky,87,-28.77,114.6,50.0,0.0,0,4.7
7,Norman Wells,75,CA,broken clouds,49,65.28,-126.83,71.6,0.0,0,10.29
8,Upernavik,0,GL,clear sky,82,72.79,-56.15,36.12,0.0,0,9.89
9,Rabaul,20,PG,few clouds,78,-4.2,152.17,80.56,0.0,0,9.13
10,Mataura,0,NZ,clear sky,83,-46.19,168.86,39.0,0.0,0,3.0
11,Mahanoro,15,MG,light rain,85,-19.9,48.8,66.88,0.4,0,6.71
12,Yibin,17,CN,few clouds,77,28.77,104.62,72.18,0.0,0,1.45
13,Martin,75,US,thunderstorm,74,27.08,-80.42,91.99,0.0,0,7.43
14,Isangel,4,VU,clear sky,82,-19.55,169.27,72.18,0.0,0,12.06
15,Tuatapere,13,NZ,few clouds,83,-46.13,167.68,39.0,0.0,0,3.0
16,Hithadhoo,94,MV,overcast clouds,77,-0.6,73.08,84.63,0.0,0,11.39
17,Talnakh,94,RU,overcast clouds,57,69.49,88.4,48.2,0.0,0,11.18
18,Rikitea,93,PF,light rain,84,-23.12,-134.97,76.19,0.37,0,16.71
19,Mandal,62,IN,broken clouds,47,25.45,74.57,89.2,0.0,0,21.79
20,Bethel,40,US,scattered clouds,69,41.37,-73.41,80.01,0.0,0,10.29
21,Ostrovnoy,93,RU,overcast clouds,67,68.05,39.51,57.43,0.0,0,3.94
22,Awjilah,0,LY,clear sky,20,29.11,21.29,87.06,0.0,0,9.71
23,Atuona,38,PF,light rain,78,-9.8,-139.03,79.48,0.22,0,12.06
24,Vidim,0,RU,clear sky,63,56.41,103.11,51.44,0.0,0,8.23
25,Busselton,18,AU,few clouds,95,-33.65,115.33,44.01,0.0,0,4.99
26,Krasnoselkup,99,RU,overcast clouds,56,65.7,82.47,46.8,0.0,0,14.36
27,Cape Town,0,ZA,clear sky,48,-33.93,18.42,62.6,0.0,0,6.93
28,Nenjiang,95,CN,overcast clouds,86,49.18,125.22,55.81,0.0,0,5.26
29,Luena,2,AO,clear sky,56,-11.78,19.92,71.6,0.0,0,5.82
30,Bluff,1,NZ,clear sky,83,-46.6,168.33,39.0,0.0,0,3.0
31,Shaoxing,75,CN,broken clouds,88,30.01,120.57,73.4,0.0,0,4.47
32,Bonfim,62,BR,light rain,72,3.08,-59.95,84.42,0.33,0,6.87
33,Brae,8,GB,clear sky,93,60.4,-1.35,53.6,0.0,0,8.05
34,Port Alfred,0,ZA,clear sky,80,-33.59,26.89,57.99,0.0,0,5.01
35,Creel,38,MX,scattered clouds,27,27.75,-107.63,75.43,0.0,0,8.57
36,Nikolayevsk-Na-Amure,100,RU,overcast clouds,92,53.14,140.73,42.98,0.0,0,3.74
37,Khatanga,83,RU,broken clouds,56,71.97,102.5,52.97,0.0,0,11.92
38,Barrow,1,US,clear sky,75,71.29,-156.79,41.0,0.0,0,8.05
39,Cherskiy,7,RU,clear sky,41,68.75,161.3,65.26,0.0,0,7.74
