City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
5,Albany,US,84.99,42.6,-73.97,
9,Rabaul,PG,80.56,-4.2,152.17,Rabaul Hotel
16,Hithadhoo,MV,84.63,-0.6,73.08,Scoop Guest House
18,Rikitea,PF,76.19,-23.12,-134.97,Pension Maro'i
19,Mandal,IN,89.2,25.45,74.57,पीपी वाले हनुमान जी
20,Bethel,US,80.01,41.37,-73.41,Courtyard by Marriott Danbury
22,Awjilah,LY,87.06,29.11,21.29,
23,Atuona,PF,79.48,-9.8,-139.03,Villa Enata
32,Bonfim,BR,84.42,3.08,-59.95,
35,Creel,MX,75.43,27.75,-107.63,The Lodge at Creel Hotel & SPA
41,Fredericksburg,US,79.0,38.3,-77.46,Courtyard by Marriott Fredericksburg Historic District
44,Woodward,US,90.0,36.43,-99.39,Holiday Inn Express & Suites Woodward Hwy 270
45,Oriximina,BR,87.58,-1.77,-55.87,Pousada Tia Amélia
48,Butaritari,KI,82.98,3.07,172.79,Isles Sunset Lodge
49,Pasighat,IN,76.42,28.07,95.33,Siang Guest House
53,Santa Cruz Del Norte,CU,87.8,23.15,-81.92,Rioger Art
63,Abonnema,NG,82.4,4.71,6.79,Corper's Lodge Obonoma
65,Salalah,OM,86.0,17.02,54.09,HAMDAN PLAZA HOTEL
69,Hamilton,US,79.0,39.18,-84.53,Six Acres Bed & Breakfast
70,Jamestown,US,78.8,42.1,-79.24,Hampton Inn & Suites Jamestown
73,Gizo,SB,81.7,-8.1,156.84,Imagination Island
75,Sao Felix Do Xingu,BR,87.44,-6.64,-51.99,Apart Hotel Rio Xingu
84,Sinnamary,GF,76.12,5.38,-52.95,ALETHEIA Appartement Sinnamary
88,Faanui,PF,79.65,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
90,Victoria,HK,84.0,22.29,114.16,Mini Hotel Central
91,Pitimbu,BR,82.4,-7.47,-34.81,Reserva do Abiaí
95,Tehachapi,US,79.0,35.13,-118.45,Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St.
98,Kavieng,PG,82.15,-2.57,150.8,Nusa Island Retreat
105,Port Blair,IN,82.94,11.67,92.75,Hotel Sentinel
107,Vila Velha,BR,77.0,-20.33,-40.29,Hotel Vitória Palace
109,Maubin,MM,77.0,16.73,95.65,SSB office
110,Champerico,GT,86.0,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
115,Palu,ID,76.71,-0.89,119.87,Hotel Santika Palu
117,Bud,US,81.0,39.45,-86.18,Madsion Scouts Camp
119,Lang Son,VN,75.4,21.83,106.73,Khai Nga Hotel
124,Puerto Ayora,EC,80.6,-0.74,-90.35,Finch Bay Galapagos Hotel
127,Georgetown,MY,84.2,5.41,100.34,Cititel Penang
128,Faya,SA,75.2,18.39,42.45,مقبرة ال مجمل
130,Bonham,US,88.0,33.58,-96.18,Economy Inn
131,Saint Anthony,US,78.01,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
132,Karlskrona,SE,77.0,56.16,15.59,First Hotel Statt
134,Miri,MY,80.6,4.41,114.01,"Mega Hotel, Miri"
135,Los Llanos De Aridane,ES,75.2,28.66,-17.92,Valle Aridane
